Title,Genre(s),Developer(s),Publisher(s),Release date,Addons,Ref.
Madden NFL 21,Sports,EA Tiburon,Electronic Arts,"<span data-sort-value=""000000002020-12-04-0000"" style=""white-space:nowrap"">Dec 4, 2020","<span data-sort-value=""000000002020-12-04-0000"" style=""white-space:nowrap"">Dec 4, 2020","<span data-sort-value=""000000002020-12-04-0000"" style=""white-space:nowrap"">Dec 4, 2020",˄ [c] CP,
Maneater,Action role-playing,"Tripwire Interactive
Blindside Interactive","Tripwire Interactive
Deep Silver","<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-19-0000"" style=""white-space:nowrap"">Nov 19, 2020",CB,
Maquette,Puzzle,Graceful Decay,Annapurna Interactive,TBA,TBA,TBA,,[4]
Marvel's Avengers,Action-adventure,Crystal Dynamics,Square Enix,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",CB CP,
Marvel's Spider-Man: Miles Morales,Action-adventure,Insomniac Games,Sony Interactive Entertainment,"<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-19-0000"" style=""white-space:nowrap"">Nov 19, 2020",CB,
Marvel's Spider-Man: Remastered,Action-adventure,Insomniac Games,Sony Interactive Entertainment,"<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-19-0000"" style=""white-space:nowrap"">Nov 19, 2020",,
Megaton Musashi,Action role-playing,Level-5,Level-5,TBA,Unreleased,Unreleased,,[11]
MicroMan,"Action-adventure
survival",Glob Games Studios,Glob Games Studios,TBA,TBA,TBA,,[12]
Monster Boy and the Cursed Kingdom,Platform,Game Atelier,FDG Entertainment,TBA,TBA,TBA,CB,
Mortal Kombat 11,Fighting,NetherRealm Studios,WB Games,Unreleased,"<span data-sort-value=""000000002020-11-17-0000"" style=""white-space:nowrap"">Nov 17, 2020","<span data-sort-value=""000000002020-11-19-0000"" style=""white-space:nowrap"">Nov 19, 2020",CB CP,
MXGP 2020,Racing,Milestone srl,Milestone srl,"<span data-sort-value=""000000002021-01-14-0000"" style=""white-space:nowrap"">Jan 14, 2021","<span data-sort-value=""000000002021-01-14-0000"" style=""white-space:nowrap"">Jan 14, 2021","<span data-sort-value=""000000002021-01-14-0000"" style=""white-space:nowrap"">Jan 14, 2021",,[13][14]
My Time at Sandrock,"Role-playing
simulation",Pathea Games,Pathea Games,"<span data-sort-value=""000000002022-13-31-0000"">2022","<span data-sort-value=""000000002022-13-31-0000"">2022","<span data-sort-value=""000000002022-13-31-0000"">2022",,
NBA 2K21,Sports,Visual Concepts,2K Sports,"<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-19-0000"" style=""white-space:nowrap"">Nov 19, 2020",,
Neptunia Shooter,Shoot 'em up,Idea Factory International,Idea Factory,"<span data-sort-value=""000000002020-12-17-0000"" style=""white-space:nowrap"">Dec 17, 2020",TBA,TBA,,
Nioh Remastered,"Action role-playing
hack and slash",Team Ninja,"Sony Interactive Entertainment
Koei Tecmo","<span data-sort-value=""000000002021-02-05-0000"" style=""white-space:nowrap"">Feb 5, 2021","<span data-sort-value=""000000002021-02-05-0000"" style=""white-space:nowrap"">Feb 5, 2021","<span data-sort-value=""000000002021-02-05-0000"" style=""white-space:nowrap"">Feb 5, 2021",,
Nioh 2 Remastered,"Action role-playing
hack and slash",Team Ninja,"Sony Interactive Entertainment
Koei Tecmo","<span data-sort-value=""000000002021-02-05-0000"" style=""white-space:nowrap"">Feb 5, 2021","<span data-sort-value=""000000002021-02-05-0000"" style=""white-space:nowrap"">Feb 5, 2021","<span data-sort-value=""000000002021-02-05-0000"" style=""white-space:nowrap"">Feb 5, 2021",CB,
No Man's Sky,"Action-adventure
survival",Hello Games,Hello Games,"<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-19-0000"" style=""white-space:nowrap"">Nov 19, 2020",CB CP,
Nour: Play With Your Food,Exploration,Terrifying Jellyfish,Panic,TBA,TBA,TBA,,
Observer: System Redux,Psychological horror,Bloober Team,Aspyr,"<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-19-0000"" style=""white-space:nowrap"">Nov 19, 2020",,
Oddworld: Soulstorm,Platform,Oddworld Inhabitants,Oddworld Inhabitants,TBA,TBA,TBA,,
Outriders,Third-person shooter,People Can Fly,Square Enix,"<span data-sort-value=""000000002021-02-02-0000"" style=""white-space:nowrap"">Feb 2, 2021","<span data-sort-value=""000000002021-02-02-0000"" style=""white-space:nowrap"">Feb 2, 2021","<span data-sort-value=""000000002021-02-02-0000"" style=""white-space:nowrap"">Feb 2, 2021",CB CP,
